Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000135|2003|11.4700|9991.1400|.0000|9800.0000
1000059|2504|17.5000|291.7900|.0000|.0000
1000109|2411|34.4600|574.3800|.0000|.0000
1000150|2010|2417.5500|42141.5000|.0000|.0000
1000124|2111|33.8400|564.0700|.0000|.0000
1000034|2501|1.0900|18.1500|.0000|.0000
1000009|2408|.0000|.0000|.0000|.0000
1000175|2206|27.4000|456.8500|.0000|.0000
1000052|2308|.0000|150.2800|.0000|150.2800
1000020|2503|.2200|3.5900|.0000|.0000
1000098|2201|6.6100|109.9900|.0000|.0000
1000090|2310|80.9400|1349.1100|.0000|.0000
1000170|2509|5.1900|86.3900|.0000|.0000
1000171|2304|69.1400|1152.2100|.0000|.0000
1000108|2204|26.0700|434.3600|.0000|.0000
KHICONST|2204|1843.9200|30732.2500|.0000|.0000
JOEASHLEY|2007|133.9200|2231.9800|.0000|.0000
1000118|2202|175.5300|2925.5600|.0000|.0000
10000111|2309|3.1200|52.0300|.0000|.0000
1000083|2111|2.4600|40.9800|.0000|.0000
1000135|2104|.0000|11196.5500|.0000|11196.5500
1000104|2504|27.7400|462.3400|.0000|.0000
CASH|2109|6022.5600|100375.3900|-137.4700|.0000
ARONP|2108|6.1000|102.2800|.0000|.0000
MICHAELING|2408|29.3500|489.4600|.0000|.0000
1000107|2309|28.4400|473.9700|.0000|.0000
|2012|.0000|.0000|.0000|.0000
|2411|.0000|.0000|.0000|.0000
CURTISW|2008|420.3600|7006.1600|.0000|.0000
1000254|2406|1319.6200|21993.6600|.0000|.0000
1000105|2104|.7200|11.9500|.0000|.0000
1000260|2507|9.4700|157.8300|.0000|.0000
ETHAN|2203|1.6200|27.0400|.0000|.0000
1000229|2401|9.8900|164.2400|.0000|.0000
1000136|2206|4262.3200|71038.9000|.0000|.0000
GARYSIPES|2011|790.5000|13175.0400|.0000|.0000
1000009|2409|84.2000|1403.4800|.0000|.0000
1000030|2306|5.1000|84.9500|.0000|.0000
1000186|2202|2.9600|49.3200|.0000|.0000
1000116|2401|.0000|166.7900|.0000|166.7900
IS-CASH|2209|225.2300|3753.7900|.0000|.0000
1000020|2506|3.6100|60.0300|.0000|.0000
1000062|2503|33.2400|553.9900|-55.3900|.0000
1000155|2510|39.6000|659.7800|.0000|.0000
1000106|2105|326.8400|5447.3500|.0000|.0000
1000120|2102|10.2300|170.4800|200.0000|.0000
1000226|2412|2.7500|45.7600|.0000|.0000
1000092|2304|2878.5900|47976.4900|8100.0000|.0000
1000240|2408|1.9900|33.2600|.0000|.0000
1000201|2105|.5800|9.6100|.0000|.0000
1000041|2307|6.6100|110.1600|.0000|.0000
|2312|.0000|.0000|.0000|.0000
CASH|2504|4286.0300|71451.7600|6033.1200|22.8400
1000038|2402|2.1700|36.2100|.0000|.0000
1000071|2404|72.5100|1208.2700|.0000|.0000
ANDYTANNER|2307|.2600|4.4100|.0000|.0000
JENKINSESS|2206|73.1800|1219.7000|.0000|.0000
1000252|2501|9.8000|163.3900|.0000|.0000
1000196|2310|102.6500|1710.7700|.0000|.0000
1000067|2403|214.4800|3574.6700|.0000|.0000
1000081|2007|861.7200|14362.2600|.0000|.0000
1000045|2403|47.4000|790.1000|.0000|.0000
1000241|2406|262.3400|4372.1900|.0000|.0000
ASKAGGS|2010|.0700|1.1600|.0000|.0000
1000100|2412|84.4900|1408.4000|.0000|.0000
AUSTINOLD|2202|122.4000|2040.0000|.0000|.0000
1000169|2310|11.2700|187.8700|.0000|.0000
1000166|2112|109.5800|1826.3000|.0000|.0000
1000165|2301|3.6800|61.2100|.0000|.0000
1000111|2501|.0000|5.6800|.0000|5.6800
1000160|2305|3766.3700|62773.0100|7428.5100|.0000
1000135|2112|.0000|20.9600|.0000|20.9600
1000160|2206|81.4400|1357.3300|.0000|.0000
1000210|2405|1179.9900|19731.0400|.0000|64.4600
1000233|2408|2.2700|37.9100|.0000|.0000
1000233|2403|.7200|12.0200|.0000|.0000
1000217|2404|.3200|5.4100|.0000|.0000
1000005|2311|.0000|683.4500|.0000|683.4500
1000165|2503|3.8200|63.9300|.0000|.0000
1000171|2212|121.8600|2031.0000|.0000|.0000
1000222|2504|1.2300|20.4300|.0000|.0000
1000142|2106|1305.4300|21756.8700|.0000|.0000
1000108|2111|2466.1600|41102.8700|.0000|.0000
1000217|2312|1.2700|21.1500|.0000|.0000
1000108|2310|14.4900|241.3500|.0000|.0000
1000170|2111|54.6600|910.9400|.0000|.0000
ANDYTANNER|2206|1.9100|31.9400|.0000|.0000
1000162|2302|5.2800|88.0800|.0000|.0000
1000205|2311|.6400|10.6000|.0000|.0000
CASH|2507|2038.3400|33968.7700|-277.4100|.0000
1000100|2606|5.8700|97.7400|.0000|.0000
1000259|2409|12.1800|203.0500|.0000|.0000
1000186|2203|.5400|9.0400|.0000|.0000
ANDYTANNER|2304|2.3000|38.2400|.0000|.0000
1000084|2110|454.3700|7572.8900|3280.0000|.0000
1000097|2408|.2500|4.2400|1.0000|.0000
1000109|2112|40.4000|673.2200|.0000|.0000
1000217|2405|.7100|11.9000|.0000|.0000
1000149|2210|26.7700|446.1500|.0000|.0000
1000210|2404|215.7800|3601.6200|240.0000|5.1200
1000160|2304|1205.7200|20095.4800|.0000|.0000
1000241|2407|561.1000|9351.6500|.0000|.0000
1000054|2505|3.4100|56.9200|.0000|.0000
1000179|2210|41.6200|693.7000|.0000|.0000
1000150|2412|1802.6900|30044.5400|1920.0000|.0000
1000083|2502|20.0300|334.0100|.0000|.0000
1000185|2204|249.5800|4159.9200|.0000|.0000
1000205|2201|1.5100|25.1800|.0000|.0000
1000045|2604|1.1700|19.4700|.0000|.0000
1000232|2412|1.6300|27.4600|.0000|.0000
1000227|2410|21.1500|352.3800|.0000|.0000
1000081|2502|2.1100|35.0300|.0000|.0000
|2401|.0000|.0000|.0000|.0000
1000178|2311|2.2200|37.0000|.0000|.0000
CRAIGW|2010|269.8200|4497.0500|.0000|.0000
DARRELLMOR|2002|314.7700|5246.1600|.0000|.0000
10000111|2508|8.4700|141.0700|.0000|.0000
